,Unnamed: 0,lien_http,note,Nb_votes,Nb_carnets,Titre,Temps,Niveau,eco,nb_part,ingrédients
214,214,https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx,4.6,51.0,4800.0,Tourte de Noël végétarienne de Coralie,1 h,Niveau moyen,Coût moyen,10.0,"['400 g de marrons cuits sous vide', ""250 g d'épinards en branche décongelés et bien essorés"", '275 g de champignon de votre choix (girolles, cèpes, de paris…)', '1/2 cuillère à café de coriandre en poudre', '1/2 cuillère à café de cannelle en poudre', '1 pincée de thym', '2 échalotes', '2 cuillères à soupe de miel', ""2 cuillères à soupe d'huile d'olive"", '20 g de beurre ou de margarine', '2 rouleaux de pâte feuilletée', '1 oeuf', ""3 petites gousses d'ail"", '1 cuillère à café de gingembre finement haché', '1 petite boîte de tomate', '12 cl de madère', '1 cuillère à café de sucre en poudre', '2 cuillères à soupe de vinaigre balsamique ou 1 de Xérès.', ""2 cuillères à soupe d'huile d'olive""]"
215,215,https://www.marmiton.org/recettes/recette_poisson-d-hivers-en-papillote_67801.aspx,2.0,1.0,41.0,Poisson d'hivers en papillote,30 min,facile,Coût moyen,2.0,"['2 filets de poisson blanc de saison', '2 endives', '4 navets nouveaux', 'Poivre', '4 cuillères à café de ciboulette hachée', '1 cuillère à soupe de savora', '4 cuillères à soupe de soja à cuisiner']"
216,216,https://www.marmiton.org/recettes/recette_galette-vegetarienne-au-quinoa_528005.aspx,0.0,0.0,0.0,Galette végétarienne au quinoa,30 min,facile,bon marché,4.0,"['150 g de quinoa (Feta ou chèvre frais)', '1 carotte', '1 carotte', '2 oeufs', '50 g de chapelure', '50 g de semoule fine', 'Ciboulette', 'Ail', 'Paprika']"
217,217,https://www.marmiton.org/recettes/recette_galettes-vegetariennes-pour-burger_528333.aspx,0.0,0.0,0.0,Galettes végétariennes pour burger,32 min,facile,bon marché,10.0,"[""160 g de flocons d'avoine"", '3 carottes râpées', '2 oeufs', '2 oignons', ""1 gousse d'ail"", '2 cuillères à soupe de persil haché', ""Huile d'olive"", 'Sel', 'Poivre']"
218,218,https://www.marmiton.org/recettes/recette_galette-des-rois-dauphinoise_44509.aspx,4.0,1.0,59.0,Galette des rois dauphinoise,30 min,très facile,bon marché,7.0,"['2 pâtes feuilletées', '150 g de noix décortiquées', '100 g de sucre fin', ""2 oeufs + 1 jaune d'oeuf"", '75 g de beurre en pommade / ramolli', '1 fève']"
219,219,https://www.marmiton.org/recettes/recette_delicieux-gateau-de-noel_53652.aspx,4.0,3.0,304.0,Délicieux gâteau de Noël,55 min,très facile,bon marché,8.0,"['250 g de pomme de terre ou de carottes râpées', '125 g de noisettes hachées', '125 g de farine', '1 cuillère à café de cannelle', '100 g de raisins secs', '150 g de sucre roux', '2 oeufs', ""12.5 cl d'huile"", '100 g de crème fraîche (facultatif)', '1 cuillère à café de levure']"
220,220,https://www.marmiton.org/recettes/recette_butterplatzchen-sables-de-noel_96242.aspx,4.6,11.0,1700.0,Butterplätzchen - Sablés de Noël,40 min,très facile,bon marché,50.0,"['500 g de farine', '125 g de sucre', '1 pincée de sel', ""7 jaunes d'oeuf (ou 3 oeufs entiers)"", '1 sachet de sucre vanillé', '205 g de beurre froid', ""1 jaune d'oeuf"", '1 sachet de sucre vanillé', 'Chocolat pâtissier fondu avec un peu de lait et du sucre vanillé']"
221,221,https://www.marmiton.org/recettes/recette_biscuits-de-noel-siciliens_64114.aspx,5.0,2.0,919.0,Biscuits de Noël siciliens,1h15,Niveau moyen,Coût moyen,6.0,"['300 g de farine de blé fluide', '3 oeufs', '1 tablette de chocolat noir ""dessert""', 'Sucre glace', 'Huile de friture']"
222,222,https://www.marmiton.org/recettes/recette_galette-vegetarienne-au-quinoa_528005.aspx,0.0,0.0,0.0,Galette végétarienne au quinoa,30 min,facile,bon marché,4.0,"['150 g de quinoa (Feta ou chèvre frais)', '1 carotte', '1 carotte', '2 oeufs', '50 g de chapelure', '50 g de semoule fine', 'Ciboulette', 'Ail', 'Paprika']"
223,223,https://www.marmiton.org/recettes/recette_galettes-vegetariennes-pour-burger_528333.aspx,0.0,0.0,0.0,Galettes végétariennes pour burger,32 min,facile,bon marché,10.0,"[""160 g de flocons d'avoine"", '3 carottes râpées', '2 oeufs', '2 oignons', ""1 gousse d'ail"", '2 cuillères à soupe de persil haché', ""Huile d'olive"", 'Sel', 'Poivre']"
224,224,https://www.marmiton.org/recettes/recette_grande-galette-sablee-bretonne_25945.aspx,4.6,9.0,584.0,Grande galette sablée bretonne,1h10,très facile,bon marché,8.0,"['335 g de farine', '165 g de sucre en poudre', ""4 jaunes d'oeuf + 1 blanc d'oeuf"", '200 g de beurre demi-sel']"
225,225,https://www.marmiton.org/recettes/recette_galette-des-rois-provencale-brioche_20626.aspx,3.3,36.0,4800.0,Galette des Rois Provençale (brioche),55 min,Niveau moyen,bon marché,6.0,"['130 g de beurre', '60 g de sucre en poudre', '2 sachets de sucre vanillé', '200 g de fruit confit', '500 g de farine de blé', ""5 jaunes d'oeuf"", ""1 cuillère à café de fleur d'oranger"", '20 g de levure fraîche de boulanger', '3 cuillères à café de sucre en gros grains', '1 orange non traitée']"
226,226,https://www.marmiton.org/recettes/recette_gateau-flocon-de-noel_334414.aspx,4.0,1.0,246.0,Gâteau flocon de Noël,45 min,facile,bon marché,8.0,"['4 pâtes à pizza', '1 pot de pâte à tartiner au chocolat', ""1 jaune d'oeuf""]"
227,227,https://www.marmiton.org/recettes/recette_galettes-de-patates-douces-vietnamienne_27978.aspx,4.3,27.0,3300.0,Galettes de patates douces vietnamienne,30 min,très facile,Coût moyen,4.0,"['500 g de patate douce crues râpées', ""2 gousses d'ail hachées"", 'Oignon cébette', '200 g de farine', '50 g de maïzena', '1 cuillère à café de sel', '2 oeufs battus en omelette', '250 ml de lait de coco', 'Poivre', 'Crevettes crues', '1 piment oiseau ciselé (facultatif)']"
228,228,https://www.marmiton.org/recettes/recette_galette-de-pommes-de-terre_18395.aspx,4.3,12.0,725.0,Galette de pommes de terre,55 min,facile,bon marché,1.0,"['2 pommes de terre', '1 oeuf', '1 cuillère à soupe de farine', '1 cuillère à soupe de lait', 'Poivre et persil', 'Sel', ""1 cuillère à soupe d'huile""]"
229,229,https://www.marmiton.org/recettes/recette_couronne-galette-des-rois_349303.aspx,3.9,9.0,4200.0,Couronne galette des rois,45 min,facile,bon marché,8.0,"['2 pâtes feuilletées', ""200 g de poudre d'amandes"", '2 oeufs', '150 g de sucre', '100 g de beurre mou', ""2 gouttes d'extrait d'amande amère"", ""1 jaune d'oeuf""]"
230,230,https://www.marmiton.org/recettes/recette_galette-de-quinoa-et-legumes_312258.aspx,4.8,9.0,805.0,Galette de quinoa et légumes,1 h,facile,bon marché,4.0,"['150 g de quinoa cuit', '1 blanc de poireaux', '1 carotte', ""3 cuillères à soupe d'huile d'olive"", '1 oeuf', '2 cuillères à soupe de farine', '50 g de gruyère rappé ou de parmesan (facultatif)']"
231,231,https://www.marmiton.org/recettes/recette_filets-de-cailles-sur-salade-d-hiver_67620.aspx,5.0,2.0,51.0,filets de cailles sur salade d'hiver,45 min,très facile,Coût moyen,2.0,"['6 filets de caille', '1 poireau', '2 pommes de terre', '100 g de lardons fumés', 'Poivre .', 'Sel']"
232,232,https://www.marmiton.org/recettes/recette_sables-amandine-sables-de-noel_26118.aspx,4.2,34.0,11000.0,Sablés amandine (sablés de Noël),30 min,très facile,bon marché,120.0,"['250 g de farine', '120 g de beurre', '250 g de sucre', ""250 g d'amandes moulues"", 'zeste de citron', ""2 blancs d'oeuf"", '1 pincée de sel']"
233,233,https://www.marmiton.org/recettes/recette_galette-beurree-de-dunkerque_164642.aspx,4.4,5.0,261.0,Galette beurrée de Dunkerque,50 min,facile,bon marché,8.0,"['3 oeufs', '125 g de sucre', '150 g de farine', '2 sachets de levure chimique', '3 cuillères à soupe de lait', '1 fève', '200 g de beurre', '3 cuillères à soupe de rhum', '125 g de sucre', ""2 cuillères à soupe d'eau"", ""2 blancs d'oeuf""]"
234,234,https://www.marmiton.org/recettes/recette_galettes-de-semoule-a-l-alsacienne_43355.aspx,4.4,7.0,235.0,galettes de semoule à l'alsacienne,25 min,très facile,bon marché,4.0,"['1 petit bol de semoule moyenne', '1 oeuf', '1 oignon', ""2 gousses d'ail"", 'Persil', 'Sel', 'Poivre', 'Curry', ""1 cuillère à soupe d'huile""]"
235,235,https://www.marmiton.org/recettes/recette_filets-de-cailles-sur-salade-d-hiver_67620.aspx,5.0,2.0,51.0,filets de cailles sur salade d'hiver,45 min,très facile,Coût moyen,2.0,"['6 filets de caille', '1 poireau', '2 pommes de terre', '100 g de lardons fumés', 'Poivre .', 'Sel']"
236,236,https://www.marmiton.org/recettes/recette_galette-de-pain-kabyle_50930.aspx,2.8,6.0,230.0,Galette de pain kabyle,45 min,Niveau moyen,bon marché,6.0,"['800 g de semoule fine', '1 cuillère à soupe de sel', 'Eau']"
237,237,https://www.marmiton.org/recettes/recette_sables-amandine-sables-de-noel_26118.aspx,4.2,34.0,11000.0,Sablés amandine (sablés de Noël),30 min,très facile,bon marché,120.0,"['250 g de farine', '120 g de beurre', '250 g de sucre', ""250 g d'amandes moulues"", 'zeste de citron', ""2 blancs d'oeuf"", '1 pincée de sel']"
238,238,https://www.marmiton.org/recettes/recette_delice-de-noel_222341.aspx,0.0,0.0,123.0,Délice de noël au chocolat,3h15,difficile,Coût moyen,6.0,"[""165 g de blanc d'oeuf"", '60 g de sucre semoule', '75 g de noisettes en poudre', '140 g de sucre glace', ""65 g de poudre d'amandes"", '35 g de lait', '110 g de chocolat', '50 g de crème fraîche liquide à 35%', '150 g de chocolat pour faire les cercles']"
239,239,https://www.marmiton.org/recettes/recette_galette-des-rois-a-la-normande_34447.aspx,4.9,30.0,3400.0,Galette des rois à la normande,1h15,facile,bon marché,6.0,"['2 pâtes feuilletées', '1 citron', '4 poires moyennes', ""1 jaune d'oeuf pour colorer"", '1 fève', ""125 g de poudre d'amandes"", '125 g de beurre doux à température ambiante', '100 g de sucre en poudre', '1 oeuf', ""1 jaune d'oeuf"", '1 cuillère à soupe de kirsch', '2 cuillères à soupe de farine']"
240,240,https://www.marmiton.org/recettes/recette_galettes-de-pois-chiches_392189.aspx,4.5,2.0,0.0,Galettes de pois chiches,21 min,facile,bon marché,3.0,"['350 g de pois chiches', '50 g de farine', '2 oeufs', '60 g de fromage râpé', '4 cuillères à soupe de chapelure', 'Cumin en poudre', ""2 cuillères à soupe d'huile d'olive"", 'Sel', 'Poivre']"
241,241,https://www.marmiton.org/recettes/recette_galette-des-rois-au-chocolat_19288.aspx,4.4,19.0,2100.0,Galette des Rois au chocolat,1 h,Niveau moyen,bon marché,4.0,"['200 g de chocolat dessert', '125 g de sucre en poudre', ""125 g d'amandes en poudre"", '125 g de beurre', '2 oeufs', ""1 jaune d'oeuf"", '2 paquets de pâte feuilletée (étalé en disque)', 'Cannelle en poudre', 'Fruits secs mélangés (amandes, noisettes, noix)']"
242,242,https://www.marmiton.org/recettes/recette_galette-carottes-et-pommes-de-terre_27957.aspx,3.8,37.0,6800.0,Galette carottes et pommes de terre,50 min,très facile,bon marché,4.0,"['300 g de carotte', '300 g de pomme de terre', '1 oignon émincé', 'Poivre', 'Sel', '50 g de beurre', '150 ml de lait', '2 oeufs', '50 g de gruyère râpé']"
243,243,https://www.marmiton.org/recettes/recette_buche-de-noel-a-la-mousse-au-chocolat_19804.aspx,4.5,99.0,15000.0,Bûche de Noël à la mousse au chocolat,2h10,Niveau moyen,bon marché,10.0,"['140 g de sucre', '150 g de farine', '3 oeufs', '1/2 jus de citron', '1/2 paquet de levure', '1 paquet de sucre vanillé', '1.5 cl de liqueur de fruit', '100 g de chocolat', '3 oeufs', '120 g de beurre mou', '100 g de sucre glace', '1 oeuf entier', '2 cuillères de café de café soluble (ou chocolat fondu ou grand marnier, selon le parfum souhaité)', '2 cuillères à soupe de liqueur de fruit pour le parfum']"
244,244,https://www.marmiton.org/recettes/recette_galette-des-rois-rapadura_166121.aspx,5.0,1.0,37.0,Galette des rois rapadura,45 min,facile,Coût moyen,6.0,"['2 pâtes feuilletées', ""150 g d'amandes"", '75 g de beurre', ""2 jaunes d'oeuf"", ""3 blancs d'oeuf en neige"", '100 g de rapadura (sucre intégral)']"
245,245,https://www.marmiton.org/recettes/recette_ma-moul-galettes-pascales-liban_17424.aspx,4.0,1.0,249.0,Ma'moul - galettes pascales (Liban),1h15,facile,Coût moyen,8.0,"['500 g de farine', '200 g de beurre fondu', ""3 cuillères à soupe d'eau de fleur d'oranger"", ""3 cuillères à soupe d'eau de rose"", '200 g de noix', 'Amandes ou pistaches finement hachées', '75 g de sucre en poudre', ""2 cuillères à soupe d'eau de fleurs d'oranger ou roses""]"
246,246,https://www.marmiton.org/recettes/recette_galette-du-roi-arthur_19013.aspx,4.0,1.0,278.0,Galette du roi Arthur,13 min,facile,bon marché,1.0,"['1 galette de blé noir (soit faite soi-même, soit achetée toute faite)', '1/2 tranche de jambon (25 g)', '1 tomate', '1 cuillère à soupe de crème fraîche épaisse', '1 noix de beurre']"
247,247,https://www.marmiton.org/recettes/recette_galette-des-rois-pommes-oranges_54741.aspx,4.8,16.0,1700.0,Galette des rois pommes oranges,1 h,facile,bon marché,8.0,"['2 pâtes feuilletées prêtes à cuire', '1 orange non traitée', '1 citron non traité', '3 pommes reinettes de belle taille', '80 g de sucre roux', ""3 cuillères à soupe de poudre d'amandes"", 'Cerneau de noix', 'Cannelle', 'Muscade', ""Jaune d'oeuf pour dorer la galette"", 'Beurre pour la cuisson des pommes', '1 fève']"
248,248,https://www.marmiton.org/recettes/recette_galette-des-rois-vegan_383005.aspx,0.0,0.0,0.0,Galette des rois vegan,50 min,facile,bon marché,6.0,"['2 pâtes feuilletées vegan', ""300 g de poudre d'amandes"", '50 g de fécule de maïs', '150 g de sucre', ""2 cuillères à soupe d'huile de tournesol"", ""200 ml de crème d'amande"", ""1 cuillère à café d'arôme amande amère"", ""1 cuillère à soupe de confiture d'abricot""]"
249,249,https://www.marmiton.org/recettes/recette_jus-d-orange-chaud-de-noel_46619.aspx,4.6,10.0,2100.0,Jus d'orange chaud de Noël,50 min,très facile,bon marché,1.0,"[""1 bouteille de jus d'orange ( pas de nectar)"", ""1 grand verre d'eau"", '150 g de sucre en morceaux', '1 bâton de cannelle (ou 1/2 cuillère à café de poudre)', ""1 anis (badiane) ou à défaut quelques graines d'anis"", '2 clous de girofle', '1 orange', '1 citron']"
250,250,https://www.marmiton.org/recettes/recette_galette-des-rois-aux-framboises_44019.aspx,4.6,26.0,992.0,Galette des rois aux framboises,30 min,très facile,Coût moyen,8.0,"['125 g de beurre', '2 ronds de pâte feuilletée', '125 g de sucre', ""125 g de poudre d'amandes"", '25 g de farine', '2 oeufs', '1 cuillère à soupe de rhum', '2 poignées de framboises (surgelées ou fraîches)', ""1 jaune d'oeuf pour dorer"", '1 fève']"
251,251,https://www.marmiton.org/recettes/recette_weihnachtsplatzchen_315779.aspx,4.6,9.0,1200.0,Weihnachtsplätzchen (biscuits de Noël allemands),20 min,facile,bon marché,30.0,"['300 g de farine', '100 g de sucre', ""100 g d'amandes en poudre"", '225 g de beurre', '1 pincée de sel', '1 sachet de sucre vanillé', ""1 jaune d'oeuf""]"
252,252,https://www.marmiton.org/recettes/recette_cake-de-noel-aux-epices_30280.aspx,4.8,9.0,410.0,Cake de Noël aux épices,1h15,facile,Coût moyen,8.0,"['3 oeufs', '150 g de beurre ramolli (+ 15 g pour le moule)', '150 g de sucre en poudre', '200 g de farine', '2 cuillères à soupe de cacao (+ 1 cuillère pour le décor)', '150 g de raisin blonds', '5 cl de rhum', '1/2 sachet de levure chimique', '1/2 cuillère à café de cannelle', '1/2 cuillère à café de quatre-épices', '1 pincée de sel']"
253,253,https://www.marmiton.org/recettes/recette_galette-des-rois-vegan_383005.aspx,0.0,0.0,0.0,Galette des rois vegan,50 min,facile,bon marché,6.0,"['2 pâtes feuilletées vegan', ""300 g de poudre d'amandes"", '50 g de fécule de maïs', '150 g de sucre', ""2 cuillères à soupe d'huile de tournesol"", ""200 ml de crème d'amande"", ""1 cuillère à café d'arôme amande amère"", ""1 cuillère à soupe de confiture d'abricot""]"
254,254,https://www.marmiton.org/recettes/recette_galette-des-rois-sans-gluten_383006.aspx,4.5,2.0,0.0,Galette des rois sans gluten,50 min,facile,bon marché,6.0,"['2 pâtes feuilletées sans gluten', ""1 jaune d'oeuf"", '1 cuillère à soupe de lait', '150 ml de lait', ""1 jaune d'oeuf"", '30 g de sucre', '25 g de fécule de maïs', '1 gousse de vanille', ""110 g de poudre d'amandes"", '110 g de beurre pommade', '110 g de sucre en poudre', '2 oeufs', ""1 cuillère à café d'arôme amande amère""]"
255,255,https://www.marmiton.org/recettes/recette_tarte-d-hiver-aux-pommmes-de-terre_36327.aspx,4.0,4.0,206.0,Tarte d'hiver aux pommmes de terre,1 h,facile,Coût moyen,8.0,"['1 pâte feuilletée', '4 pommes de terre de taille moyenne', '4 oeufs', '20 cl de crème liquide', '3 oignons', '100 g de lardons', '50 g de fromage râpé', 'Ciboulette', 'Poivre', 'Sel']"
256,256,https://www.marmiton.org/recettes/recette_galette-des-rois-aux-framboises_44019.aspx,4.6,26.0,992.0,Galette des rois aux framboises,30 min,très facile,Coût moyen,8.0,"['125 g de beurre', '2 ronds de pâte feuilletée', '125 g de sucre', ""125 g de poudre d'amandes"", '25 g de farine', '2 oeufs', '1 cuillère à soupe de rhum', '2 poignées de framboises (surgelées ou fraîches)', ""1 jaune d'oeuf pour dorer"", '1 fève']"
257,257,https://www.marmiton.org/recettes/recette_galette-des-rois-a-l-onctueuse-creme-d-amande_34429.aspx,4.8,88.0,8500.0,Galette des rois à l'onctueuse crème d'amande,1 h,facile,bon marché,8.0,"['2 ronds de pâte feuilletée', '200 g de crème pâtissière (crème pâtissière en sachet)', ""4 jaunes d'oeuf"", '100 g de sucre (à doser suivant votre goût)', ""200 g de poudre d'amandes"", '80 g de beurre ramolli', '1 cuillère à soupe de rhum', '1 fève']"
258,258,https://www.marmiton.org/recettes/recette_galettes-de-riz-facon-thai_342742.aspx,3.0,2.0,501.0,Galettes de riz façon Thaï,50 min,facile,bon marché,8.0,"['1 courgette', '2 carottes', '1 oignon rouge', '400 g de riz cuit', '4 oeufs', '20 cl de lait de coco', '300 g de farine', '400 g de crevette rose', '1 cuillère à soupe de curry', '1 cuillère à café de pâte de tamarin', '1 branche de coriandre', ""20 cl d'huile de tournesol"", 'Sel']"
259,259,https://www.marmiton.org/recettes/recette_buche-de-noel-facon-elisabeth_55178.aspx,4.8,4.0,895.0,Bûche de Noël façon Elisabeth,40 min,très facile,bon marché,10.0,"['230 g de chocolat noir', '320 g de beurre doux', '12 oeufs', '200 g de sucre', '160 g de farine']"
260,260,https://www.marmiton.org/recettes/recette_galettes-multicolores-5eme-rencontre-marmiton_29337.aspx,5.0,1.0,36.0,Galettes multicolores (5ème Rencontre Marmiton),1h25,Niveau moyen,bon marché,4.0,"['1 kg de farine', '2 paquets de levure chimique', '4 oeufs (3+ 1 pour dorer ou glacer)', '2 paquets de sucre vanillé', '225 g de sucre', ""20 cl d'huile"", '20 cl de vin blanc', 'Sucre glace']"
261,261,https://www.marmiton.org/recettes/recette_vanocka-gateau-de-noel-tcheque_313840.aspx,4.5,2.0,225.0,Vanocka (gâteau de Noël Tchèque),4h05,facile,Coût moyen,4.0,"['1 kg de farine', '50 g de levure de boulanger', '8 oeufs', '250 g de sucre en poudre', '250 g de beurre ou margarine', '125 g de raisin', ""100 g d'amandes pilées"", '1/2 l de lait', '1 pincée de sel', 'zeste de citron', '1 cuillère à soupe de muscade']"
262,262,https://www.marmiton.org/recettes/recette_galettes-de-sarrasin-au-saumon_23099.aspx,4.8,11.0,2100.0,Galettes de sarrasin au saumon,15 min,très facile,bon marché,4.0,"['4 galettes (bretonnes) de sarrasin (blé noir)', '4 tranches de saumon fumé', '2 tomates', 'feuille de salade (à doser selon votre goût)', '10 cl de crème fraîche', 'Poivre', 'Sel']"
263,263,https://www.marmiton.org/recettes/recette_buche-de-noel-pomme-cannelle_313105.aspx,4.0,4.0,405.0,Buche de Noël pomme cannelle,40 min,Niveau moyen,bon marché,6.0,"['75 g de sucre', '70 g de farine', '3 oeufs', ""5 gouttes d'arôme de vanille"", '5 pommes', '50 g de beurre demi sel', '80 g de sucre roux', '6 pincées de cannelle', '3 cuillères de pâte à tartiner', '3 spéculoos', '3 galettes (bretonnes) au beurre']"
264,264,https://www.marmiton.org/recettes/recette_buche-de-noel-chocolat-passion_254106.aspx,5.0,3.0,435.0,Bûche de noel chocolat passion,55 min,facile,Coût moyen,8.0,"['4 fruits de la passion', '1 oeuf entier', ""1 blanc d'oeuf"", '250 g de chocolat noir', '1 noisette de beurre', '10 cl de crème liquide ou semi épaisse', '4 oeufs', '100 g de sucre en poudre', '100 g de farine', '25 cl de fruit de la passion et aux framboises entières (fraiches ou surgelées)', 'copeau de chocolat', '1 cuillère à soupe de sucre glace']"
265,265,https://www.marmiton.org/recettes/recette_galette-des-rois-au-cookeo_383712.aspx,0.0,0.0,0.0,Galette des rois au Cookeo,50 min,très facile,bon marché,4.0,"['2 pâtes feuilletées', ""190 g de poudre d'amandes"", '3 oeufs', '150 g de sucre en poudre', '15 cl de lait', '75 g de beurre', '1.5 cuillère à soupe de fécule de maïs', '1/2 cuillère à café de vanille en poudre', ""1/2 cuillère à soupe de liqueur d'amande"", '1/2 cuillère à soupe de rhum (ou kirsch)', ""1 jaune d'oeuf pour dorer""]"
266,266,https://www.marmiton.org/recettes/recette_galette-bretonne-a-la-confiture_225569.aspx,0.0,0.0,94.0,Galette bretonne à la confiture,1h05,facile,bon marché,8.0,"['250 g de farine', '250 g de sucre blanc', '250 g de beurre salé à température ambiante', ""6 jaunes d'oeuf"", '3 cuillères de confiture', '5 cl de lait', '1 pincée de sel']"
267,267,https://www.marmiton.org/recettes/recette_buche-au-citron-de-noel_229616.aspx,4.3,3.0,453.0,Bûche au citron de Noël,2h08,Niveau moyen,Coût moyen,6.0,"[""4 jaunes d'oeuf"", ""5 blancs d'oeuf"", '100 g de sucre poudre', '150 g de farine (ou 75 g de farine et 75 g de maïzena)', '1 citron pour le zeste', '1 oeuf', '50 g de sucre', '1 citron pour son jus', '25 g de beurre', ""1 blanc d'oeuf"", '1/2 citron', '250 g de sucre glace']"
268,268,https://www.marmiton.org/recettes/recette_tiramisu-de-noel-speculoos-framboises_43110.aspx,4.4,22.0,1700.0,Tiramisu de Noël (speculoos framboises),10 min,facile,Coût moyen,4.0,"['100 g de spéculoos', '4 mandarines', '150 g de framboises congelées (ou fraîches selon la saison)', '125 g de mascarpone', '125 g de fromage blanc 0%', '3 cuillères à soupe de cassonade', 'Décor en sucre']"
269,269,https://www.marmiton.org/recettes/recette_gateau-pomme-cannelle-ambiance-noel_173989.aspx,2.5,4.0,756.0,"Gâteau pomme-cannelle, ambiance Noël",50 min,facile,bon marché,5.0,"['125 g de farine', '125 g de beurre', '200 g de sucre', '1/2 sachet de levure', '4 oeufs', '5 cuillères à soupe de lait', '1/2 tablette de chocolat blanc pâtissier', '1 pomme', '5 cuillères à soupe de cannelle en poudre']"
270,270,https://www.marmiton.org/recettes/recette_delice-de-noel_222341.aspx,0.0,0.0,123.0,Délice de noël au chocolat,3h15,difficile,Coût moyen,6.0,"[""165 g de blanc d'oeuf"", '60 g de sucre semoule', '75 g de noisettes en poudre', '140 g de sucre glace', ""65 g de poudre d'amandes"", '35 g de lait', '110 g de chocolat', '50 g de crème fraîche liquide à 35%', '150 g de chocolat pour faire les cercles']"
271,271,https://www.marmiton.org/recettes/recette_tourte-au-poulet-et-legumes-d-hiver_194863.aspx,4.0,1.0,169.0,Tourte au poulet et légumes d’hiver,1 h,facile,bon marché,4.0,"['2 pâtes feuilletées', 'Moutarde', ""1 jaune d'oeuf"", '2 filets de poulet déjà cuits', '2 carottes (taille moyenne)', ""1 gousse d'ail"", '1 oignon ou 2 moyens', '2 échalotes', '150 g de petits pois surgelés', '7 champignons de Paris assez gros', '10 cl de vin blanc sec', '1 bouillon de volaille', ""Huile d'olive (environ 2 cuillères à soupe)"", '25 cl de lait', '2 cuillères à soupe de maïzena', 'Sel', 'Poivre', '1/4 cube de bouillon de volaille', '1 pincée de paprika', '1 pincée de cumin', '1 pincée de muscade', '15 g de beurre']"
272,272,https://www.marmiton.org/recettes/recette_harcha-galette-de-semoule-fine_24290.aspx,2.9,15.0,468.0,Harcha (galette de semoule fine),30 min,très facile,bon marché,8.0,"['1 kg de semoule fine', ""1 verre de beurre ou d'huile"", 'Eau', 'Sel']"
273,273,https://www.marmiton.org/recettes/recette_galette-de-legumes-varies_81765.aspx,3.7,3.0,198.0,Galette de légumes variés,40 min,facile,bon marché,4.0,"['1 poireau', '3 pommes de terre', '2 courgettes', '5 oeufs', 'Sauce soja (environ 50 ml)', 'Ail (environ 3 gousses)', '4 cuillères à soupe de farine', '200 g de chapelure', '100 g de parmesan', '1 botte de persil (voir 2)']"
274,274,https://www.marmiton.org/recettes/recette_galette-de-courgette-vegan_339523.aspx,2.7,3.0,598.0,galette de courgette vegan,10 min,facile,bon marché,1.0,"['100 g de farine de poids chiche', '1/3 courgette', '1 pincée de piment', '1 pincée de cumin', '1 pincée de paprika', ""1 cuillère à soupe d'huile (ou de margarine)"", '1 oignon', ""1 gousse d'ail""]"
275,275,https://www.marmiton.org/recettes/recette_recettes-recette-feuillete-d-hiver-223452-aspx_223452.aspx,0.0,0.0,134.0,"Feuilleté d'hiver (poire, roquefort et noix)",50 min,facile,bon marché,6.0,"['2 rouleaux de pâte brisée', '400 g de poire au sirop', '250 g de roquefort', 'morceau de noix (à votre convenance)', '20 cl de crème fraîche épaisse', 'Poivre', 'Muscade']"
276,276,https://www.marmiton.org/recettes/recette_bottes-de-noel-en-knacki_346279.aspx,5.0,1.0,668.0,Bottes de noël en knacki,15 min,très facile,bon marché,6.0,"['4 knackis', '80 g de fromage frais', 'brin de ciboulette']"
278,278,https://www.marmiton.org/recettes/recette_harcha-galette-de-semoule-fine_24290.aspx,2.9,15.0,468.0,Harcha (galette de semoule fine),30 min,très facile,bon marché,8.0,"['1 kg de semoule fine', ""1 verre de beurre ou d'huile"", 'Eau', 'Sel']"
279,279,https://www.marmiton.org/recettes/recette_buche-au-citron-de-noel_229616.aspx,4.3,3.0,453.0,Bûche au citron de Noël,2h08,Niveau moyen,Coût moyen,6.0,"[""4 jaunes d'oeuf"", ""5 blancs d'oeuf"", '100 g de sucre poudre', '150 g de farine (ou 75 g de farine et 75 g de maïzena)', '1 citron pour le zeste', '1 oeuf', '50 g de sucre', '1 citron pour son jus', '25 g de beurre', ""1 blanc d'oeuf"", '1/2 citron', '250 g de sucre glace']"
280,280,https://www.marmiton.org/recettes/recette_galette-des-rois-pommes-framboises_34744.aspx,4.4,13.0,1000.0,Galette des rois pommes/framboises,1 h,très facile,Coût moyen,6.0,"['2 rouleaux de pâte feuilletée', '200 g de framboises surgelées', '3 pommes golden', '30 g de beurre', '20 g de sucre en poudre', ""1 jaune d'oeuf"", '1 fève']"
281,281,https://www.marmiton.org/recettes/recette_veloute-d-hiver-de-michel_65916.aspx,4.0,3.0,53.0,Vélouté d'hiver de Michel,35 min,très facile,bon marché,6.0,"['3 pommes de terre', '6 carottes', '2 courgettes', '2 tomates', '1 oignon jaune', ""1 cuillère à soupe d'huile d'olive"", '20 g de beurre', '1 cuillère de curry indien', '2 cuillères à soupe de crème fraîche']"
